# Always On, Heating & A/C, Refrigeration, Dryer, Cooking, Other, Datetime Midpoint
2.28,38.976,1.47,8.298,8.352,2.466, 2009-12-12T16:00:00
2.58,0.06,1.044,1.509,0,0, 2009-12-12T22:00:00
2.58,48.81,1.308,0,7.014,2.274, 2009-12-13T04:00:00
2.58,31.794,1.476,2.124,0,0.384, 2009-12-13T10:00:00
2.58,21.054,1.77,1.041,1.23,1.452, 2009-12-13T16:00:00
2.58,2.682,0.486,0.666,0,0, 2009-12-13T22:00:00
2.58,10.986,1.632,1.047,0,1.116, 2009-12-14T04:00:00
2.58,37.716,1.35,2.448,0,4.14, 2009-12-14T10:00:00
2.58,14.154,1.536,0.876,0,2.88, 2009-12-14T16:00:00
2.04,0,0.33,0.402,0,0, 2009-12-14T22:00:00
2.04,11.01,0.96,0.945,0,1.44, 2009-12-15T04:00:00
2.04,8.526,1.602,1.425,0,1.452, 2009-12-15T10:00:00
2.04,6.336,2.004,4.071,0,1.062, 2009-12-15T16:00:00
2.04,14.196,0.36,0,0,0.12, 2009-12-15T22:00:00
2.04,12.918,0.912,2.349,0,0.216, 2009-12-16T04:00:00
2.04,49.428,2.022,4.71,0,0.978, 2009-12-16T10:00:00
2.04,27.174,1.446,0,0,4.95, 2009-12-16T16:00:00
3.12,12.732,0.684,0,0,0.636, 2009-12-16T22:00:00
3.12,11.664,0.78,3.165,0,0.456, 2009-12-17T04:00:00
3.12,53.682,0.996,5.106,0,0.552, 2009-12-17T10:00:00
3.12,30.324,2.13,2.187,0,1.128, 2009-12-17T16:00:00
3.12,14.154,0.39,0,0,0.126, 2009-12-17T22:00:00
3.12,12.972,1.122,2.718,0,0.282, 2009-12-18T04:00:00
3.12,62.5,1.35,11.747,0,0.162, 2009-12-18T10:00:00
3.12,16.284,1.644,1.773,12.09,3.3, 2009-12-18T16:00:00
3.12,4.242,0.762,0.159,0,0, 2009-12-18T22:00:00
3.12,44.316,1.98,1.284,1.764,0.708, 2009-12-19T04:00:00
3.12,28.176,1.602,3.413,0,0.444, 2009-12-19T10:00:00
3.12,54.738,0.984,7.344,12.45,0.522, 2009-12-19T16:00:00
2.52,3.75,0.414,0.279,0,0, 2009-12-19T22:00:00
2.52,27.708,2.076,5.631,14.526,0.642, 2009-12-20T04:00:00
2.52,28.074,1.428,0.086,0,0.156, 2009-12-20T10:00:00
2.52,42.522,1.992,2.475,7.716,1.932, 2009-12-20T16:00:00
2.52,20.598,1.188,0,0,0.204, 2009-12-20T22:00:00
2.52,8.148,1.104,2.628,0,0.54, 2009-12-21T04:00:00
2.52,52.566,1.518,5.19,0,0.648, 2009-12-21T10:00:00
2.52,25.086,1.236,1.473,0,5.226, 2009-12-21T16:00:00
2.52,12.81,0.66,0,0,0.018, 2009-12-21T22:00:00
2.52,11.7,0.942,3.306,0,0.15, 2009-12-22T04:00:00
2.52,55.788,0.906,5.361,0,0.072, 2009-12-22T10:00:00
2.52,13.056,1.494,6.84,0,0.258, 2009-12-22T16:00:00
2.46,13.188,0.912,0,0,0.036, 2009-12-22T22:00:00
2.46,11.904,2.004,3.027,0,0.714, 2009-12-23T04:00:00
2.46,0,0.21,1.884,0,0.126, 2009-12-23T10:00:00
2.46,0,0.48,0.471,0,0, 2009-12-23T16:00:00
2.4,0,0.12,0.441,0,0, 2009-12-23T22:00:00
2.4,0,0.024,0.255,0,0, 2009-12-24T04:00:00
2.4,0,0.006,0.336,0,0, 2009-12-24T10:00:00
2.4,0,0.438,0.513,0,0.006, 2009-12-24T16:00:00
2.4,0,0.09,0.453,0,0, 2009-12-24T22:00:00
2.4,0,0.108,0.207,0,0, 2009-12-25T04:00:00
2.4,0,0.702,0.651,0,0, 2009-12-25T10:00:00
2.4,0,1.128,0.195,0,0.006, 2009-12-25T16:00:00
2.4,0,0.39,0.309,0,0, 2009-12-25T22:00:00
2.4,0,0,0.393,0,0, 2009-12-26T04:00:00
2.4,0,0.144,0.48,0,0, 2009-12-26T10:00:00
2.4,0,0.516,0.57,0,0, 2009-12-26T16:00:00
2.4,0,0.216,0.348,0,0, 2009-12-26T22:00:00
2.4,0,0.078,0.246,0,0, 2009-12-27T04:00:00
2.4,0,0.042,0.399,0,0.006, 2009-12-27T10:00:00
2.4,0,0.516,0.504,0,0, 2009-12-27T16:00:00
2.4,0,0.072,0.456,0,0, 2009-12-27T22:00:00
2.4,0,0,0.3,0,0.006, 2009-12-28T04:00:00
2.4,0,0.084,0.3,0,0, 2009-12-28T10:00:00
2.4,0,0.384,0.576,0,0, 2009-12-28T16:00:00
2.4,2.928,0.162,0,0,0.252, 2009-12-28T22:00:00
2.4,6.45,0.228,1.764,0,0.006, 2009-12-29T04:00:00
2.4,0,0.036,0.288,0,0, 2009-12-29T10:00:00
2.4,10.734,0.438,0.978,0,1.284, 2009-12-29T16:00:00
4.2,62.5,0.684,24.47,0,0, 2009-12-29T22:00:00
4.2,33.432,1.548,2.829,0,0.162, 2009-12-30T04:00:00
4.2,62.5,0.912,28.385,0,0.738, 2009-12-30T10:00:00
4.2,45.204,1.224,7.785,0,3.876, 2009-12-30T16:00:00
3.3,59.55,0.372,0,0,0.174, 2009-12-30T22:00:00
3.3,13.044,1.71,4.02,0,1.002, 2009-12-31T04:00:00
3.3,36.066,1.146,2.826,0,2.862, 2009-12-31T10:00:00
3.3,12.63,1.854,0.648,0,1.902, 2009-12-31T16:00:00
3.54,34.404,0.96,3.954,0,0.012, 2009-12-31T22:00:00
3.54,19.35,1.554,2.22,0,1.05, 2010-01-01T04:00:00
3.54,28.038,2.064,1.077,1.578,2.604, 2010-01-01T10:00:00
3.54,16.344,1.638,1.845,5.166,7.83, 2010-01-01T16:00:00
3.36,49.272,0.444,4.104,16.338,0.036, 2010-01-01T22:00:00
3.36,40.782,0.528,6.81,0,0.354, 2010-01-02T04:00:00
3.36,58.398,1.104,0,1.35,2.952, 2010-01-02T10:00:00
3.36,62.5,2.376,0,2.058,2.772, 2010-01-02T16:00:00
3.138,0,0.444,0.792,0,0.018, 2010-01-06T04:00:00
3.138,62.1,1.062,6.582,0,0.192, 2010-01-06T10:00:00
3.138,48.864,1.494,1.524,0,0.696, 2010-01-06T16:00:00
2.322,62.5,0.75,13.835,0,0.078, 2010-01-06T22:00:00
2.322,13.086,1.74,3.096,0,0.342, 2010-01-07T04:00:00
2.322,52.488,1.944,3.432,0,8.244, 2010-01-07T10:00:00
2.322,23.724,1.794,1.395,0,3.006, 2010-01-07T16:00:00
1.38,41.712,0.132,4.092,0,0.012, 2010-01-07T22:00:00
1.38,11.82,1.536,4.071,0,0.12, 2010-01-08T04:00:00
1.38,62.5,2.502,9.272,0,0.18, 2010-01-08T10:00:00
1.38,62.5,2.07,2.651,1.002,0.3, 2010-01-08T16:00:00
1.44,62.5,1.656,17.402,0,0.168, 2010-01-08T22:00:00
1.44,62.5,1.704,4.784,1.242,0.624, 2010-01-09T04:00:00
1.44,57.462,1.71,5.994,1.29,0.138, 2010-01-09T10:00:00
1.44,49.71,2.298,6.426,5.94,6.858, 2010-01-09T16:00:00
2.4,20.448,0.102,0,0,0.378, 2010-01-09T22:00:00
2.4,62.5,1.632,14.762,0,0.396, 2010-01-10T04:00:00
2.4,17.856,1.98,6.423,1.02,0.306, 2010-01-10T10:00:00
2.4,52.878,1.476,1.122,0,4.266, 2010-01-10T16:00:00
1.92,27.6,0.09,0,0,0.39, 2010-01-10T22:00:00
1.92,13.128,1.23,3.099,0,0.234, 2010-01-11T04:00:00
1.92,62.5,2.466,9.359,0,1.356, 2010-01-11T10:00:00
1.92,35.994,1.41,0,0,4.548, 2010-01-11T16:00:00
1.92,59.796,0.66,1.206,0,0.564, 2010-01-11T22:00:00
1.92,13.128,1.08,2.811,0,0.258, 2010-01-12T04:00:00
1.92,49.83,2.256,6.894,0,1.02, 2010-01-12T10:00:00
1.92,37.434,2.064,0,0,5.976, 2010-01-12T16:00:00
1.92,40.26,0.348,0,0,0.186, 2010-01-12T22:00:00
1.92,13.218,0.996,3.132,0,0.798, 2010-01-13T04:00:00
1.92,50.64,1.884,6.678,0,0.414, 2010-01-13T10:00:00
1.92,24.678,2.058,0.813,0,6.93, 2010-01-13T16:00:00
1.8,36.372,0.216,0,0,0.354, 2010-01-13T22:00:00
1.8,13.404,0.696,3.138,0,0.198, 2010-01-14T04:00:00
1.8,11.496,0.978,2.724,0,2.31, 2010-01-14T10:00:00
1.8,3.366,1.836,0.696,0,3.72, 2010-01-14T16:00:00
1.8,14.97,0.948,0,0,0.006, 2010-01-14T22:00:00
1.8,15.954,0.792,2.901,0,0.198, 2010-01-15T04:00:00
1.8,10.74,1.236,2.052,3.522,1.728, 2010-01-15T10:00:00
1.8,1.62,2.172,1.035,0,3.564, 2010-01-15T16:00:00
1.8,4.764,0.618,0.534,0,0, 2010-01-15T22:00:00
1.8,20.79,0.918,2.058,1.926,4.356, 2010-01-16T04:00:00
1.8,13.068,0.606,1.566,10.458,1.86, 2010-01-16T10:00:00
1.8,2.25,0.678,2.055,4.542,2.778, 2010-01-16T16:00:00
1.74,0,0.654,0.941,0,0.006, 2010-01-16T22:00:00
1.74,5.52,0.834,1.938,1.746,0.468, 2010-01-17T04:00:00
1.74,8.628,0.594,0.996,3.066,0.936, 2010-01-17T10:00:00
1.74,4.254,0.798,3.186,1.44,2.808, 2010-01-17T16:00:00
1.86,0,1.026,0,0,3.348, 2010-01-17T22:00:00
1.86,0,1.098,0.846,0,1.17, 2010-01-18T04:00:00
1.86,7.092,1.074,2.214,0,1.95, 2010-01-18T10:00:00
1.86,7.086,1.74,1.155,0,4.794, 2010-01-18T16:00:00
1.74,7.596,0.768,0,0,1.596, 2010-01-18T22:00:00
1.74,4.002,1.476,2.184,0,1.698, 2010-01-19T04:00:00
1.74,2.49,1.284,0.66,0,0.852, 2010-01-19T10:00:00
1.74,0.072,1.71,1.995,0,1.47, 2010-01-19T16:00:00
1.86,7.56,0.72,0,0,1.758, 2010-01-19T22:00:00
1.86,5.148,1.062,2.385,0,1.764, 2010-01-20T04:00:00
1.86,1.446,1.392,2.169,0,1.974, 2010-01-20T10:00:00
1.86,1.146,1.344,0.21,0,0.726, 2010-01-20T16:00:00
1.86,7.482,0.87,0,0,1.434, 2010-01-20T22:00:00
1.86,6.834,1.548,3.138,0,2.586, 2010-01-21T04:00:00
1.86,35.94,1.692,3.294,0,2.538, 2010-01-21T10:00:00
1.86,14.628,1.392,8.493,0,6.66, 2010-01-21T16:00:00
1.86,7.362,0.912,0,0,1.176, 2010-01-21T22:00:00
1.86,13.536,2.094,1.917,0,4.32, 2010-01-22T04:00:00
1.86,1.158,1.668,2.628,0,2.712, 2010-01-22T10:00:00
1.86,7.506,2.346,0.918,1.488,4.134, 2010-01-22T16:00:00
2.58,1.704,0.894,0,0,0.006, 2010-01-22T22:00:00
2.58,16.488,1.8,0.261,1.656,0.972, 2010-01-23T04:00:00
2.58,10.242,0.924,3.854,0,0.06, 2010-01-23T10:00:00
2.58,6.684,1.506,2.895,0,0.276, 2010-01-23T16:00:00
1.86,0.162,0.63,0,0,0, 2010-01-23T22:00:00
1.86,6.486,1.686,0.024,6.714,0.96, 2010-01-24T04:00:00
1.86,6.246,1.788,2.07,4.548,1.014, 2010-01-24T10:00:00
1.86,0.42,1.47,3.768,1.584,0.21, 2010-01-24T16:00:00
1.86,0,1.248,0.909,0,0, 2010-01-24T22:00:00
1.86,0.162,1.818,0.306,0,0.234, 2010-01-25T04:00:00
1.86,0.216,2.064,0.264,0,0.264, 2010-01-25T10:00:00
1.86,1.146,2.25,1.308,0,2.574, 2010-01-25T16:00:00
1.86,3.462,0.942,0,0,0.006, 2010-01-25T22:00:00
1.86,2.808,1.596,1.11,0,0.222, 2010-01-26T04:00:00
1.86,5.364,1.644,1.242,0,0.936, 2010-01-26T10:00:00
1.86,3.162,1.578,0.954,0,3.108, 2010-01-26T16:00:00
1.86,4.824,0.762,0,0,0, 2010-01-26T22:00:00
1.86,8.712,1.728,0.999,0,0.186, 2010-01-27T04:00:00
1.86,10.35,1.278,3.798,0,0.234, 2010-01-27T10:00:00
1.86,6.246,1.014,0.219,0,4.698, 2010-01-27T16:00:00
1.86,6.642,1.518,0.423,0,0, 2010-01-27T22:00:00
1.86,2.988,1.704,0.765,0,0.246, 2010-01-28T04:00:00
1.86,5.352,1.11,2.898,0,3.54, 2010-01-28T10:00:00
1.86,6.294,1.914,5.127,0,1.62, 2010-01-28T16:00:00
2.04,3.234,1.17,1.299,0,0.084, 2010-01-28T22:00:00
2.04,3.036,1.83,1.176,0,0.174, 2010-01-29T04:00:00
2.04,12.588,2.196,0.765,2.772,0.24, 2010-01-29T10:00:00
2.04,6.138,1.656,0.27,3.78,4.266, 2010-01-29T16:00:00
2.28,7.278,0.576,0.208,0,0, 2010-01-29T22:00:00
2.28,20.202,1.422,0.204,1.278,0.912, 2010-01-30T04:00:00
2.28,21.408,2.592,0,6.9,0.546, 2010-01-30T10:00:00
2.28,16.05,2.286,1.287,3.366,2.49, 2010-01-30T16:00:00
2.22,20.562,0.132,0.228,1.26,0, 2010-01-30T22:00:00
2.22,57.018,1.428,0.426,1.986,0.498, 2010-01-31T04:00:00
2.22,14.13,1.572,1.161,0,1.944, 2010-01-31T10:00:00
2.22,13.896,2.256,2.886,2.244,0.72, 2010-01-31T16:00:00
1.92,11.922,0.588,0,0,0, 2010-01-31T22:00:00
3,14.79,0.756,0.132,0,0.948, 2010-02-01T04:00:00
2.298,10.938,1.35,2.508,0,0.258, 2010-02-01T10:00:00
1.92,12.348,1.062,3.432,0,1.722, 2010-02-01T16:00:00
1.38,9.972,1.122,0,0,0.27, 2010-02-01T22:00:00
1.38,9.156,1.794,0.6,0,0.348, 2010-02-02T04:00:00
1.38,22.698,2.568,1.626,0,1.248, 2010-02-02T10:00:00
1.38,8.4,1.596,1.533,0,7.092, 2010-02-02T16:00:00
1.38,9.9,1.242,0,0,0.078, 2010-02-02T22:00:00
1.38,3.546,1.86,0.447,0,1.002, 2010-02-03T04:00:00
1.38,7.998,1.044,3.018,0,3.81, 2010-02-03T10:00:00
1.38,4.062,1.434,1.158,0,1.446, 2010-02-03T16:00:00
1.38,11.364,1.392,0,0,0.276, 2010-02-03T22:00:00
1.38,2.82,1.326,0.981,0,0.24, 2010-02-04T04:00:00
1.38,12.576,2.112,3.249,0,0.336, 2010-02-04T10:00:00
1.38,1.734,2.346,0.546,0,11.652, 2010-02-04T16:00:00
1.92,3.534,0.906,0.132,0,0, 2010-02-04T22:00:00
1.92,9.948,2.13,0.741,0,0.444, 2010-02-05T04:00:00
1.92,20.418,2.298,0.216,3.414,0.942, 2010-02-05T10:00:00
1.92,7.968,2.016,1.185,1.74,4.758, 2010-02-05T16:00:00
1.92,13.41,1.362,0.549,0,0, 2010-02-05T22:00:00
1.92,16.074,1.836,0.6,2.076,0.714, 2010-02-06T04:00:00
1.92,19.44,2.658,0.939,2.274,1.416, 2010-02-06T10:00:00
1.92,11.412,2.088,0.798,4.938,1.23, 2010-02-06T16:00:00
1.92,9.81,0.834,0.105,0,0, 2010-02-06T22:00:00
1.92,19.896,1.95,0.12,1.212,0.6, 2010-02-07T04:00:00
1.92,6.564,1.74,3.054,0,0.546, 2010-02-07T10:00:00
1.92,17.742,1.788,4.755,7.56,0.768, 2010-02-07T16:00:00
1.92,7.452,0.888,0,0,0, 2010-02-07T22:00:00
1.92,2.064,1.032,0.864,0,4.656, 2010-02-08T04:00:00
1.92,9.72,0.792,3.786,0,2.802, 2010-02-08T10:00:00
1.92,7.44,1.476,3.642,0,0.786, 2010-02-08T16:00:00
1.92,8.844,1.116,0,0,0.006, 2010-02-08T22:00:00
1.92,2.826,1.194,1.158,0,0.294, 2010-02-09T04:00:00
1.92,21.474,1.512,4.41,0,1.254, 2010-02-09T10:00:00
1.92,11.01,1.584,3.339,0,0.678, 2010-02-09T16:00:00
1.86,3.714,0.888,0,0,0.222, 2010-02-09T22:00:00
1.86,7.14,2.094,0.645,0,0.726, 2010-02-10T04:00:00
1.86,19.758,1.71,3.684,0,0.132, 2010-02-10T10:00:00
1.86,8.556,1.242,5.04,0,1.11, 2010-02-10T16:00:00
2.4,11.736,1.398,0,0,0.03, 2010-02-10T22:00:00
2.4,2.838,1.218,0.864,0,0.228, 2010-02-11T04:00:00
2.4,9.042,1.8,1.344,0,5.052, 2010-02-11T10:00:00
2.4,3.012,1.476,0.873,0,4.056, 2010-02-11T16:00:00
1.32,12.288,1.752,0,0,0, 2010-02-11T22:00:00
1.32,6.516,1.656,1.188,0,0.84, 2010-02-12T04:00:00
1.32,10.056,1.386,3.561,6.696,0.39, 2010-02-12T10:00:00
1.32,8.85,2.208,0.45,1.776,1.716, 2010-02-12T16:00:00
1.86,4.992,0.816,0.037,0,0, 2010-02-12T22:00:00
1.86,20.538,2.178,0.747,0,0.75, 2010-02-13T04:00:00
1.86,9.654,1.764,0.831,1.248,0.09, 2010-02-13T10:00:00
1.86,16.566,1.968,5.352,0,1.356, 2010-02-13T16:00:00
1.86,8.766,1.494,0.984,1.332,0.066, 2010-02-13T22:00:00
1.86,14.4,1.992,0.78,1.602,0.126, 2010-02-14T04:00:00
1.86,5.85,1.65,0.273,1.686,0.774, 2010-02-14T10:00:00
1.86,13.296,2.454,0.597,1.716,0.21, 2010-02-14T16:00:00
1.86,5.898,0.912,0,0,0, 2010-02-14T22:00:00
1.86,4.206,1.338,0.396,0,1.728, 2010-02-15T04:00:00
1.86,18.888,1.386,4.488,0,0.63, 2010-02-15T10:00:00
1.86,9.024,0.828,6.6,0,1.338, 2010-02-15T16:00:00
1.92,4.158,0.9,0,0,0.126, 2010-02-15T22:00:00
1.92,5.46,1.554,0.912,0,0.132, 2010-02-16T04:00:00
1.92,13.194,1.602,2.958,0,0.168, 2010-02-16T10:00:00
1.92,12.75,2.112,0.453,0,1.626, 2010-02-16T16:00:00
2.46,10.482,1.452,0,0,0.084, 2010-02-16T22:00:00
2.46,3.228,1.518,0.597,0,0.462, 2010-02-17T04:00:00
2.46,9.624,1.512,3.234,0,3.21, 2010-02-17T10:00:00
2.46,9.144,1.584,0.753,0,7.158, 2010-02-17T16:00:00
2.46,3.642,0.96,0,0,0, 2010-02-17T22:00:00
2.46,8.982,1.41,0.723,0,0.24, 2010-02-18T04:00:00
2.46,9.294,1.644,2.274,0,3.222, 2010-02-18T10:00:00
2.46,2.88,1.302,4.851,0,4.122, 2010-02-18T16:00:00
1.86,9.042,1.266,0,0,0.018, 2010-02-18T22:00:00
1.86,3.882,1.008,0.891,0,0.156, 2010-02-19T04:00:00
1.86,7.188,1.05,2.232,0,3.984, 2010-02-19T10:00:00
1.86,4.284,1.302,0.108,1.092,0.468, 2010-02-19T16:00:00
1.86,5.664,1.242,0.141,0,0.012, 2010-02-19T22:00:00
1.86,10.134,1.89,0.525,1.17,0.204, 2010-02-20T04:00:00
1.86,6.858,1.632,2.483,0,1.404, 2010-02-20T10:00:00
1.86,6.336,2.118,2.997,1.152,1.332, 2010-02-20T16:00:00
1.86,0,0.744,0.165,0,0, 2010-02-20T22:00:00
1.86,12.318,1.746,0.276,3.258,2.412, 2010-02-21T04:00:00
1.86,1.938,1.734,2.136,3.498,2.778, 2010-02-21T10:00:00
1.86,3.12,1.476,0.09,3.948,2.598, 2010-02-21T16:00:00
1.26,3.282,0.996,0,0,0.03, 2010-02-21T22:00:00
1.26,2.64,1.458,0.951,0,1.032, 2010-02-22T04:00:00
1.26,8.622,1.524,2.397,0,0.732, 2010-02-22T10:00:00
1.26,3.852,2.118,0.699,0,2.64, 2010-02-22T16:00:00
1.32,0.3,0.96,0,0,3.336, 2010-02-22T22:00:00
1.32,0,1.218,1.14,0,3.252, 2010-02-23T04:00:00
1.32,4.146,1.338,1.848,0,0.09, 2010-02-23T10:00:00
1.32,0.66,1.47,0.516,0,4.332, 2010-02-23T16:00:00
1.32,3.012,0.96,0.045,0,0.18, 2010-02-23T22:00:00
1.32,2.856,1.374,0.912,0,0.096, 2010-02-24T04:00:00
1.32,19.23,2.028,1.494,1.878,1.578, 2010-02-24T10:00:00
1.32,19.2,2.034,0,1.104,2.472, 2010-02-24T16:00:00
1.32,3.468,0.936,0,0,0, 2010-02-24T22:00:00
1.32,4.338,2.058,0.714,0,1.176, 2010-02-25T04:00:00
1.32,14.37,2.094,1.587,0,0.078, 2010-02-25T10:00:00
1.32,10.68,1.662,3.672,0,1.602, 2010-02-25T16:00:00
2.16,12.27,1.578,0,0,0.12, 2010-02-25T22:00:00
2.16,0.642,2.01,0.984,0,3.678, 2010-02-26T04:00:00
2.16,0.366,2.04,0.492,0,0.36, 2010-02-26T10:00:00
2.16,4.812,1.182,4.206,12.726,1.338, 2010-02-26T16:00:00
2.22,7.548,1.2,0.067,0,0.168, 2010-02-26T22:00:00
2.22,11.55,1.47,1.206,0,3.894, 2010-02-27T04:00:00
2.22,7.29,0.804,3.313,0,0.774, 2010-02-27T10:00:00
2.22,2.046,1.89,3.387,9.204,0.75, 2010-02-27T16:00:00
2.16,5.016,0.846,0.035,0,0.03, 2010-02-27T22:00:00
2.16,11.586,2.25,0.576,1.158,2.004, 2010-02-28T04:00:00
2.16,6.132,1.662,4.242,0,0.036, 2010-02-28T10:00:00
2.16,5.022,1.866,0.795,1.602,2.046, 2010-02-28T16:00:00
2.76,9.564,1.44,0,0,0, 2010-02-28T22:00:00
2.76,3.414,1.722,1.92,0,0.882, 2010-03-01T04:00:00
2.76,1.962,1.596,0.333,0,1.038, 2010-03-01T10:00:00
2.76,1.662,2.196,0.681,0,3.978, 2010-03-01T16:00:00
2.7,3.78,0.84,0.138,0,0.096, 2010-03-01T22:00:00
2.7,2.874,1.824,1.095,0,0.348, 2010-03-02T04:00:00
2.7,9,1.83,1.998,0,0.054, 2010-03-02T10:00:00
2.7,8.994,1.542,0,0,6.138, 2010-03-02T16:00:00
3.24,5.652,0.96,0.042,0,0.144, 2010-03-02T22:00:00
3.24,3.024,2.076,1.524,0,3.474, 2010-03-03T04:00:00
3.24,9.3,1.884,1.731,0,0.228, 2010-03-03T10:00:00
3.24,6.654,1.662,0.747,0,1.818, 2010-03-03T16:00:00
2.4,2.22,1.188,0,0,2.406, 2010-03-03T22:00:00
2.4,0.636,1.728,1.011,0,3.156, 2010-03-04T04:00:00
2.4,0,1.206,0.213,0,2.91, 2010-03-04T10:00:00
2.4,3.558,1.938,0.924,0,4.08, 2010-03-04T16:00:00
2.16,5.388,0.852,0,0,0.042, 2010-03-04T22:00:00
2.16,3.102,2.454,1.35,0,0.21, 2010-03-05T04:00:00
2.16,3.042,1.776,0.726,3.894,1.644, 2010-03-05T10:00:00
2.16,1.29,2.484,0.66,1.374,2.46, 2010-03-05T16:00:00
2.04,6.768,1.074,0.046,0,0.084, 2010-03-05T22:00:00
2.04,11.442,2.196,1.404,13.956,1.89, 2010-03-06T04:00:00
2.04,4.674,0.474,2.022,0,0, 2010-03-06T10:00:00
2.04,9.63,1.104,3.227,0,0.498, 2010-03-06T16:00:00
2.52,4.926,0.684,0.597,0,0, 2010-03-06T22:00:00
2.52,12.984,1.626,1.533,1.29,1.332, 2010-03-07T04:00:00
2.52,0.63,1.644,0.741,11.028,1.986, 2010-03-07T10:00:00
2.52,2.028,1.872,0.738,1.332,2.352, 2010-03-07T16:00:00
2.52,3.096,0.954,0,0,0.132, 2010-03-07T22:00:00
2.52,0.042,1.698,0.993,0,3.27, 2010-03-08T04:00:00
2.52,0,0.912,0.375,0,0, 2010-03-08T10:00:00
2.52,0,1.842,1.233,0,0.636, 2010-03-08T16:00:00
2.46,3.462,0.966,0,0,0, 2010-03-08T22:00:00
2.46,2.874,1.11,0.996,0,0.132, 2010-03-09T04:00:00
2.46,0,1.296,0.285,0,0.102, 2010-03-09T10:00:00
2.46,0.15,1.698,0.723,0,0.474, 2010-03-09T16:00:00
2.4,0.06,0.9,0,0,3.282, 2010-03-09T22:00:00
2.4,0,1.11,0.837,0,0.48, 2010-03-10T04:00:00
2.4,0.036,1.254,0.438,0,0.138, 2010-03-10T10:00:00
2.4,0,1.446,0.246,0,1.53, 2010-03-10T16:00:00
2.4,0,0.63,0.111,0,0.006, 2010-03-10T22:00:00
2.4,0,1.38,0.114,0,0.156, 2010-03-11T04:00:00
2.4,0,1.14,0.372,0,0.264, 2010-03-11T10:00:00
2.4,0,1.83,2.028,0,0.918, 2010-03-11T16:00:00
2.28,0.252,0.75,0.051,0,0, 2010-03-11T22:00:00
2.28,0,1.038,0.33,0,0.774, 2010-03-12T04:00:00
2.28,1.086,2.136,0.099,0,0.414, 2010-03-12T10:00:00
2.28,0.486,2.292,1.05,0,0.63, 2010-03-12T16:00:00
2.46,0,0.684,0.159,0,0, 2010-03-13T22:00:00
2.46,0.114,0.93,0,4.398,0.396, 2010-03-14T05:00:00
2.46,2.748,1.152,1.74,3.024,0.234, 2010-03-14T11:00:00
2.46,0.498,1.944,0.387,4.866,1.182, 2010-03-14T17:00:00
2.31,0.762,1.116,0.081,0,1.74, 2010-03-14T23:00:00
2.28,0,1.122,0.906,0,1.284, 2010-03-15T05:00:00
2.28,0,1.05,0.36,0,0, 2010-03-15T11:00:00
2.28,0,2.196,0.339,0,0.228, 2010-03-15T17:00:00
2.28,0,0.828,0.063,0,0.294, 2010-03-15T23:00:00
2.28,0,1.398,0.675,0,3.3, 2010-03-16T05:00:00
2.28,0,1.662,0.348,0,0.006, 2010-03-16T11:00:00
2.28,0.798,1.602,1.899,0,0.048, 2010-03-16T17:00:00
2.28,3.198,0.954,0,0,0, 2010-03-16T23:00:00
2.28,3.198,1.308,0.93,0,0.426, 2010-03-17T05:00:00
2.28,2.064,1.08,1.353,0,0.144, 2010-03-17T11:00:00
2.28,0,1.278,0.42,0,1.578, 2010-03-17T17:00:00
1.878,2.982,0.924,0,0,0.378, 2010-03-17T23:00:00
1.8,0,1.614,1.143,0,2.13, 2010-03-18T05:00:00
1.8,0,1.866,0.354,0,0.072, 2010-03-18T11:00:00
1.8,0.726,2.076,1.332,0,0.378, 2010-03-18T17:00:00
1.8,0,0.978,0,0,3.588, 2010-03-18T23:00:00
1.8,0,1.71,1.308,0,1.044, 2010-03-19T05:00:00
1.8,0,1.716,0.678,0,0.06, 2010-03-19T11:00:00
1.8,0.54,2.574,0.612,1.242,2.25, 2010-03-19T17:00:00
1.752,0,0.762,0.414,0,0.108, 2010-03-19T23:00:00
1.74,1.656,1.08,0.618,0,1.722, 2010-03-20T05:00:00
1.74,0,2.136,2.1,0,0.306, 2010-03-20T11:00:00
1.74,0,2.784,8.256,0,0, 2010-03-20T17:00:00
1.788,0,0.81,0.831,0,0.078, 2010-03-20T23:00:00
1.8,0,0.738,0.444,0,0.264, 2010-03-21T05:00:00
1.8,0.006,2.304,0.777,3.66,0.948, 2010-03-21T11:00:00
1.8,0,1.98,1.209,0,0.39, 2010-03-21T17:00:00
